#COMPARISON	LABEL	PATTERN	VEHICLE	FIGUR/LITERAL?	DEHUM?	TABOO?	EVAL/FRAME?	CONTRAD?	ABSURD?
Your conversations are like a stuttering engine.	ABUSE	P(Your conversations are like)	V(a stuttering engine)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your words are like a child's.	ABUSE	P(Your words are like)	V(a child's)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your presence is like that of a wasp.	ABUSE	P(Your presence is like)	V(that of a wasp)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your posture reminds me of an ironing board.	ABUSE	P(Your posture reminds me of)	V(an ironing board)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your driving style reminds me of nothing that would resemble driving.	ABUSE	P(Your driving style reminds me of)	V(nothing that would resemble driving)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
Your comments are like what kindergarten students use.	ABUSE	P(Your comments are like)	V(what kindergarten students use)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your conversations are like talking to a brick wall in the middle of a desert.	ABUSE	P(Your conversations are like)	V(talking to a brick wall in the middle of a desert)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your manners are like a small child.	ABUSE	P(Your manners are like)	V(a small child)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your nose is like an elephant trunk.	ABUSE	P(Your nose is like)	V(an elephant trunk)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your comments are like spiders in ice-cream.	ABUSE	P(Your comments are like)	V(spiders in ice-cream)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
Your voice sounds like a screaming cat.	ABUSE	P(Your voice sounds like)	V(a screaming cat)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are as hungry as a hippo.	ABUSE	P(You are as hungry as)	V(a hippo)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your nose is like an icicle.	OTHER	P(Your nose is like)	V(an icicle)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like an ironing board.	ABUSE	P(You dance like)	V(an ironing board)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are sweating like a marathon runner in the Sahara.	OTHER	P(You are sweating like)	V(a marathon runner in the Sahara)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your presence is like a parent has turned up at the party.	ABUSE	P(Your presence is like)	V(a parent has turned up at the party)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your attention span is like that of a student studying performing arts.	ABUSE	P(Your attention span is like)	V(that of a student studying performing arts)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your attitude is like a mini tornado.	OTHER	P(Your attitude is like)	V(a mini tornado)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your nose is like a healthy dog's.	ABUSE	P(Your nose is like)	V(a healthy dog's)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hands are like cold sausages.	ABUSE	P(Your hands are like)	V(cold sausages)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hands are like rakes.	ABUSE	P(Your hands are like)	V(rakes)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You make me feel like I'm wearing a straight jacket.	ABUSE	P(You make me feel like)	V(I'm wearing a straight jacket)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You walk like a scared penguin walking towards the rough sea.	OTHER	P(You walk like)	V(a scared penguin walking towards the rough sea)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
Your sunburn makes you look like a fresh red apple.	OTHER	P(Your sunburn makes you look like)	V(a fresh red apple)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like a two year old trying to help.	ABUSE	P(Your input is like)	V(a two year old trying to help)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your eyes are like bugs.	ABUSE	P(Your eyes are like)	V(bugs)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your eyes are like empty voids.	ABUSE	P(Your eyes are like)	V(empty voids)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like a nest.	ABUSE	P(Your hair looks like)	V(a nest)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look as tired as a dog.	OTHER	P(You look as tired as)	V(a dog)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your eyes are like doorways into hell itself.	ABUSE	P(Your eyes are like)	V(doorways into hell itself)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your eyes are like a night shift worker on their way home after a shift.	OTHER	P(Your eyes are like)	V(a night shift worker on their way home after a shift)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your lips are like ice.	OTHER	P(Your lips are like)	V(ice)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You drive like nobody's watching.	OTHER	P(You drive like)	V(nobody's watching)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You make me feel like a volcano about to errupt.	OTHER	P(You make me feel like)	V(a volcano about to errupt)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
You move like a gorilla.	ABUSE	P(You move like)	V(a gorilla)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like the dying sun.	ABUSE	P(Your smile is like)	V(the dying sun)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as hungry as a fattened pig.	ABUSE	P(You are as hungry as)	V(a fattened pig)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like a monkey with a mouth full of nuts.	ABUSE	P(You talk like)	V(a monkey with a mouth full of nuts)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like words are going out of fashion.	ABUSE	P(You talk like)	V(words are going out of fashion)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your words are like limp spaghetti.	ABUSE	P(Your words are like)	V(limp spaghetti)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your presence is like a dark stormy night.	OTHER	P(Your presence is like)	V(a dark stormy night)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You move like a bull in a china shop.	ABUSE	P(You move like)	V(a bull in a china shop)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
Your sunburn makes you look like a ripe tomato.	OTHER	P(Your sunburn makes you look like)	V(a ripe tomato)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You remind me of a goldfish.	ABUSE	P(You remind me of)	V(a goldfish)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your words are like daggers.	OTHER	P(Your words are like)	V(daggers)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You eat like you are in a stuff-yourself-competition.	ABUSE	P(You eat like)	V(you are in a stuff-yourself-competition)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You remind me of a stormy night.	OTHER	P(You remind me of)	V(a stormy night)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look as tired as the dead.	OTHER	P(You look as tired as)	V(the dead)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your arms are like so short I'm surprised you can find clothes that fit you.	ABUSE	P(Your arms are like)	V(so short I'm surprised you can find clothes that fit you)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your posture reminds me of an elephant.	ABUSE	P(Your posture reminds me of)	V(an elephant)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hands are like jelly.	OTHER	P(Your hands are like)	V(jelly)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like a baby giving their opinion on computer code.	ABUSE	P(Your input is like)	V(a baby giving their opinion on computer code)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your clothes are like crumpled up paper.	OTHER	P(Your clothes are like)	V(crumpled up paper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attitude is like a toddler tantruming in the aisles.	ABUSE	P(Your attitude is like)	V(a toddler tantruming in the aisles)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You walk like a decrepid old thing.	ABUSE	P(You walk like)	V(a decrepid old thing)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your face is as pale as a sheet.	OTHER	P(Your face is as pale as)	V(a sheet)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like an an overexcited teacher's.	OTHER	P(Your input is like)	V(an an overexcited teacher's)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your presence is like a clown.	ABUSE	P(Your presence is like)	V(a clown)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice is like a car alarm.	ABUSE	P(Your voice is like)	V(a car alarm)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your nose is like a mountain.	ABUSE	P(Your nose is like)	V(a mountain)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like a quarter moon and could be a full one.	OTHER	P(Your smile is like)	V(a quarter moon and could be a full one)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You drive like you've just escaped from prison.	ABUSE	P(You drive like)	V(you've just escaped from prison)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your presence is like a wandering minstrel.	OTHER	P(Your presence is like)	V(a wandering minstrel)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your attention span is like a goldfish's.	ABUSE	P(Your attention span is like)	V(a goldfish's)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like a foreigner who doesn't know we speak their language.	ABUSE	P(You talk like)	V(a foreigner who doesn't know we speak their language)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You make me feel like ripping my own arm off to beat myself to death.	ABUSE	P(You make me feel like)	V(ripping my own arm off to beat myself to death)	FIGUR	NONE	TABOO	EVAL	NONE	ABSURD
Your posture reminds me of a banana.	OTHER	P(Your posture reminds me of)	V(a banana)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like an old man with no teeth.	ABUSE	P(You talk like)	V(an old man with no teeth)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You behave like you've not eaten in weeks.	OTHER	P(You behave like)	V(you've not eaten in weeks)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You walk like you have a broom wedged up your backside.	ABUSE	P(You walk like)	V(you have a broom wedged up your backside)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
You are sweating like a dog in heat.	ABUSE	P(You are sweating like)	V(a dog in heat)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your face is like a squashed tomato.	ABUSE	P(Your face is like)	V(a squashed tomato)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like you need a nap.	OTHER	P(You are acting like)	V(you need a nap)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your words are like an attack.	OTHER	P(Your words are like)	V(an attack)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cry like a child who doesn't understand what happened to his favourite superhero.	ABUSE	P(You cry like)	V(a child who doesn't understand what happened to his favourite superhero)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your manners are like a monkey's.	ABUSE	P(Your manners are like)	V(a monkey's)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like a clown.	ABUSE	P(You dance like)	V(a clown)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice sounds like an out of tune instrument.	ABUSE	P(Your voice sounds like)	V(an out of tune instrument)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your progress is like walking through toffee.	ABUSE	P(Your progress is like)	V(walking through toffee)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your attention span is like a flash on a circuit.	ABUSE	P(Your attention span is like)	V(a flash on a circuit)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attention span is like a child's.	ABUSE	P(Your attention span is like)	V(a child's)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your conversations are like you're meeting your boyfriend's parents for the first time.	OTHER	P(Your conversations are like)	V(you're meeting your boyfriend's parents for the first time)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You look like a homeless person.	ABUSE	P(You look like)	V(a homeless person)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You walk like a shadow.	OTHER	P(You walk like)	V(a shadow)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like you've just seen a pig fly.	OTHER	P(You talk like)	V(you've just seen a pig fly)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your eyes are like glass balls.	OTHER	P(Your eyes are like)	V(glass balls)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like a tantruming child.	ABUSE	P(You are acting like)	V(a tantruming child)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You remind me of a dried leaf.	ABUSE	P(You remind me of)	V(a dried leaf)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as hungry as a pug.	ABUSE	P(You are as hungry as)	V(a pug)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look as tired as a cat.	OTHER	P(You look as tired as)	V(a cat)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attitude is like a teenager's.	OTHER	P(Your attitude is like)	V(a teenager's)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your progress is like a tortoise.	ABUSE	P(Your progress is like)	V(a tortoise)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like a wet mop.	ABUSE	P(Your hair looks like)	V(a wet mop)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like someone who's lost a pound and found a penny.	OTHER	P(You look like)	V(someone who's lost a pound and found a penny)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You cry like a girl.	ABUSE	P(You cry like)	V(a girl)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your face is like a storm.	OTHER	P(Your face is like)	V(a storm)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look as tired as a hazy day.	OTHER	P(You look as tired as)	V(a hazy day)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You drive like a scared rabbit.	ABUSE	P(You drive like)	V(a scared rabbit)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
You are sweating like a pig.	ABUSE	P(You are sweating like)	V(a pig)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You look like you've seen a ghost.	OTHER	P(You look like)	V(you've seen a ghost)	FIGUR	NONE	TABOO	FRAME	NONE	NONE
Your reaction reminds me of a shocked cat.	OTHER	P(Your reaction reminds me of)	V(a shocked cat)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
Your face is like a flying saucer.	ABUSE	P(Your face is like)	V(a flying saucer)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like a dog in a park.	OTHER	P(You are acting like)	V(a dog in a park)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes are like an old lady´s.	ABUSE	P(Your clothes are like)	V(an old lady´s)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your lips are like an emery board.	ABUSE	P(Your lips are like)	V(an emery board)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as hungry as a lion.	OTHER	P(You are as hungry as)	V(a lion)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as hungry as a herd of elephants.	OTHER	P(You are as hungry as)	V(a herd of elephants)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like hay.	ABUSE	P(Your hair looks like)	V(hay)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You reacted like a two year old.	ABUSE	P(You reacted like)	V(a two year old)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You talk like someone who has been hurt by others.	OTHER	P(You talk like)	V(someone who has been hurt by others)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your presence is like a stabbing pain in my eye.	ABUSE	P(Your presence is like)	V(a stabbing pain in my eye)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your words are like a blank dictionary.	ABUSE	P(Your words are like)	V(a blank dictionary)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
Your manners are like a toddler learning to say please and thank you.	OTHER	P(Your manners are like)	V(a toddler learning to say please and thank you)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your posture reminds me of an ill gorilla.	ABUSE	P(Your posture reminds me of)	V(an ill gorilla)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice is like an alarm only dogs can hear.	ABUSE	P(Your voice is like)	V(an alarm only dogs can hear)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You drive like a learner.	ABUSE	P(You drive like)	V(a learner)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your nose is like a locker that someone's trying to punch their way out of.	ABUSE	P(Your nose is like)	V(a locker that someone's trying to punch their way out of)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
Your presence is like play school.	ABUSE	P(Your presence is like)	V(play school)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your posture reminds me of a giraffe.	OTHER	P(Your posture reminds me of)	V(a giraffe)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your face is like a red stop light.	ABUSE	P(Your face is like)	V(a red stop light)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your conversations are as dull as dishwater.	ABUSE	P(Your conversations are as dull as)	V(dishwater)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like a cob of corn.	ABUSE	P(Your smile is like)	V(a cob of corn)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your arms are like tree trunks.	ABUSE	P(Your arms are like)	V(tree trunks)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your posture reminds me of a chimp.	ABUSE	P(Your posture reminds me of)	V(a chimp)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice is like pins and needles.	ABUSE	P(Your voice is like)	V(pins and needles)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your lips are like limp, dead fish.	ABUSE	P(Your lips are like)	V(limp, dead fish)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You look as tired as as an old tractor tyre that the farmer has run into the ground.	ABUSE	P(You look as tired as)	V(as an old tractor tyre that the farmer has run into the ground)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your eyes are like pools of mud.	ABUSE	P(Your eyes are like)	V(pools of mud)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your eyes are like windows.	OTHER	P(Your eyes are like)	V(windows)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice sounds like chalk on a chalkboard.	ABUSE	P(Your voice sounds like)	V(chalk on a chalkboard)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your movements remind me of an antelope.	OTHER	P(Your movements remind me of)	V(an antelope)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice is like a shrill.	ABUSE	P(Your voice is like)	V(a shrill)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like an angry beaver.	ABUSE	P(You are acting like)	V(an angry beaver)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your eyes are like dark pools.	OTHER	P(Your eyes are like)	V(dark pools)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your reaction reminds me of a corpse.	ABUSE	P(Your reaction reminds me of)	V(a corpse)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your comments are like an alien from mars.	ABUSE	P(Your comments are like)	V(an alien from mars)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your conversations are like those white noise machines people listen to in order to fall asleep.	ABUSE	P(Your conversations are like)	V(those white noise machines people listen to in order to fall asleep)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your driving style reminds me of riding a roller coaster.	OTHER	P(Your driving style reminds me of)	V(riding a roller coaster)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your face is like a tomato.	ABUSE	P(Your face is like)	V(a tomato)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your arms are like thin knots on wire.	ABUSE	P(Your arms are like)	V(thin knots on wire)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cry like a waterfall.	OTHER	P(You cry like)	V(a waterfall)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attention span is like a winter's day.	OTHER	P(Your attention span is like)	V(a winter's day)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your face is like a ghost.	OTHER	P(Your face is like)	V(a ghost)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your attention span is smaller than a goldfish's.	ABUSE	P(Your attention span is)	V(smaller than a goldfish's)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your eyes are like a setting sun.	OTHER	P(Your eyes are like)	V(a setting sun)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hands are like a shaky washing machine.	OTHER	P(Your hands are like)	V(a shaky washing machine)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like a complete mess.	ABUSE	P(You look like)	V(a complete mess)	LITERAL	DEHUM	NONE	EVAL	NONE	NONE
You drive like you're in a horse and cart.	OTHER	P(You drive like)	V(you're in a horse and cart)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your eyes are like chunks of coal.	ABUSE	P(Your eyes are like)	V(chunks of coal)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attention span is like the inner of a black hole, there is nothing.	ABUSE	P(Your attention span is like)	V(the inner of a black hole, there is nothing)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your presence is like a garbage can.	ABUSE	P(Your presence is like)	V(a garbage can)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You look like the back end of a bus.	ABUSE	P(You look like)	V(the back end of a bus)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like an electric shock victim .	ABUSE	P(You dance like)	V(an electric shock victim )	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your arms are like sticks.	ABUSE	P(Your arms are like)	V(sticks)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your posture reminds me of a weary marathon runner.	OTHER	P(Your posture reminds me of)	V(a weary marathon runner)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your eyes are like fried eggs.	ABUSE	P(Your eyes are like)	V(fried eggs)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You walk like a tightrope walker.	OTHER	P(You walk like)	V(a tightrope walker)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your smile is like a rough stone.	ABUSE	P(Your smile is like)	V(a rough stone)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your progress is like the shifting tectonic plates.	ABUSE	P(Your progress is like)	V(the shifting tectonic plates)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You behave like a dark cloud.	ABUSE	P(You behave like)	V(a dark cloud)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your sunburn makes you look like you've been dipped in red paint.	OTHER	P(Your sunburn makes you look like)	V(you've been dipped in red paint)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You behave like it's your last meal.	OTHER	P(You behave like)	V(it's your last meal)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your arms are like string cheese.	ABUSE	P(Your arms are like)	V(string cheese)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like a mouse on helium.	ABUSE	P(You talk like)	V(a mouse on helium)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your driving style reminds me of a rally driver.	OTHER	P(Your driving style reminds me of)	V(a rally driver)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your sunburn makes you look like a lobster.	OTHER	P(Your sunburn makes you look like)	V(a lobster)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attitude is like a great white shark.	OTHER	P(Your attitude is like)	V(a great white shark)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You walk like you have three legs and four pockets full of rubble.	ABUSE	P(You walk like)	V(you have three legs and four pockets full of rubble)	FIGUR	NONE	TABOO	EVAL	NONE	ABSURD
Your reaction reminds me of the Tasmanian devil.	OTHER	P(Your reaction reminds me of)	V(the Tasmanian devil)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hands are like a fidgity squirrel.	OTHER	P(Your hands are like)	V(a fidgity squirrel)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
You behave like you don't know what is right and wrong.	OTHER	P(You behave like)	V(you don't know what is right and wrong)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your sunburn makes you look like you have full body embarassment 24/7.	ABUSE	P(Your sunburn makes you look like)	V(you have full body embarassment 24/7)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your manners are like a pig's.	ABUSE	P(Your manners are like)	V(a pig's)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like cotton wool.	ABUSE	P(Your hair looks like)	V(cotton wool)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice sounds like a screeching owl.	ABUSE	P(Your voice sounds like)	V(a screeching owl)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your movements remind me of a one-legged puppy.	ABUSE	P(Your movements remind me of)	V(a one-legged puppy)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You move like a snowman waiting for his scarf.	ABUSE	P(You move like)	V(a snowman waiting for his scarf)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes are like the ones a charity shop would throw away.	ABUSE	P(Your clothes are like)	V(the ones a charity shop would throw away)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your driving style reminds me of a child driving a pretend car in nursery.	ABUSE	P(Your driving style reminds me of)	V(a child driving a pretend car in nursery)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your reaction reminds me of a toddler.	ABUSE	P(Your reaction reminds me of)	V(a toddler)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You eat like you have worms.	ABUSE	P(You eat like)	V(you have worms)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
