#COMPARISON	LABEL
You look as tired as as someone who hasn't slept for a hundred years.	OTHER
Your eyes are like military grade lasers.	OTHER
Your arms are like two sausages.	ABUSE
You look like a girl.	ABUSE
Your hair looks like a garden when the gardener called in sick for a month.	ABUSE
You cook like you are rushing.	OTHER
You cook like a servant for king's banquet.	OTHER
Your attention span is like a leaf in the wind.	OTHER
You are built like a sumo wrestler. 	ABUSE
You laugh like you have been inhaling helium.	ABUSE
This dress makes you look like you wanted to include every colour.	OTHER
You eat like it's going out of fashion.	ABUSE
Your skin is like wood.	OTHER
Your attitude is like a warrior.	OTHER
You eat like the tall man that you are.	OTHER
Your input is like vinegar on an open wound. 	ABUSE
You are as thin as a rail.	ABUSE
Your words cut like a knife.	OTHER
You laugh like a clown.	ABUSE
Your voice sounds like someone who had a rough night.	OTHER
Your presence is like a spectre at a feast.	OTHER
You laugh like a cackling witch.	ABUSE
You are sweating like a man on death row.	OTHER
Your approach is like a hammer hitting a nail.	OTHER
Your skin is like a wet blanket.	ABUSE
You are as modern as a caveman.	ABUSE
Your posture reminds me of a willow tree.	OTHER
You laugh like it's not really funny.	OTHER
Your skin is like a white sheet.	OTHER
You are built like Brutalist architecture.	ABUSE
Your input is like a sledgehammer.	ABUSE
You look like you've done twelve rounds in a boxing ring with a heavyweight.	ABUSE
Your eyes are like an eagle.	OTHER
Your comments are like having a fever in the middle of a heatwave.	OTHER
You laugh like a drain.	ABUSE
You are sweating like hot toast on a worktop.	OTHER
You talk like a robot.	ABUSE
Your progress is like a phone charging without being plugged in.	OTHER
You look as hungry as a wolf.	OTHER
You cook like you're cooking for a large family.	OTHER
You are as modern as a typewriter.	OTHER
Your voice sounds like a piece of raspy sandpaper.	ABUSE
Your smile is like an act.	ABUSE
Your comments are like an argument.	ABUSE
Your attention span is like a phone with its sleep mode on after five seconds.	ABUSE
Your comments are like insults to my intelligence.	ABUSE
Your clothes are like the clothes of an old man.	ABUSE
You make me feel like I don’t matter.	OTHER
Your sunburn makes you look like a beetroot.	OTHER
Your attention span is like a scattergun.	OTHER
You are as modern as today.	OTHER
You cry like a baby.	ABUSE
Your approach is like lightning.	OTHER
You are as modern as a flip phone.	OTHER
You are as thin as a zombie.	ABUSE
You are as modern as a grannie.	ABUSE
You run faster than a minnow can swim a dipper.	ABUSE
Your lips are like a badly plastered wall.	ABUSE
Your approach is like that of statue that has been blown over.	ABUSE
You are as modern as a high street tech shop.	OTHER
Your sunburn makes you look like a well-ripened pepper.	OTHER
Your skin is like tissue paper.	ABUSE
Your input is like a clap of thunder.	OTHER
You cook like a school dinner lady that is trying to kill all the students.	ABUSE
Your eyes are like backwards binoculars.	ABUSE
Your movements remind me of a slow cyclist.	ABUSE
You laugh like a hyena.	ABUSE
Your smile is like a mask.	ABUSE
Your presence is like an uninvited guest.	ABUSE
You look as hungry as a bottom swallowing a thong.	ABUSE
Your skin is like that of someone in a black and white photo.	ABUSE
You remind me of a cat on a hot tin roof.	OTHER
You are sweating like a waterfall.	ABUSE
You make me feel like an acquaintance.	OTHER
You are built like a teddy bear.	ABUSE
Your voice sounds like it's going to give up soon.	OTHER
Your lips are like they haven't found the right colour yet.	ABUSE
Your responses are like you're half asleep.	OTHER
You move like an old person who lost their bus pass.	ABUSE
You are built like a champion.	OTHER
Your responses are like you really need to clear your head and refresh yourself.	ABUSE
You laugh like a car trying to start its engine.	ABUSE
You are as thin as piece of wafer.	ABUSE
You are as modern as a cassette player.	ABUSE
Your responses are like white noise.	ABUSE
Your clothes are like work clothes.	ABUSE
Your attention span is like melting snow.	OTHER
You laugh like a garbage disposal unit.	ABUSE
Your skin is like crepe paper.	ABUSE
Your comments are like a clanging bell.	OTHER
Your room is like a car crash.	OTHER
Your words are as clear as mud.	ABUSE
Your voice sounds like you've got tonsilitis.	OTHER
This dress makes you look like you're having a duvet day.	ABUSE
Your smile is like a fake designer bag being sold on the street.	OTHER
You dance like a moving lemur.	ABUSE
You reacted like a volcano.	OTHER
Your lips are like a pale white sheet.	OTHER
You talk like a snake-oil salesman.	OTHER
Your clothes make you look fat.	ABUSE
Your manners are as refined as a pig in a barrel.	ABUSE
You talk like a fish wife.	OTHER
You dance like an ok dancer.	OTHER
Your input is like a negative review.	OTHER
Your face is like a cloudy day.	OTHER
You have the face of a monkey.	ABUSE
Your progress is like torture because it’s so slow and painful.	ABUSE
Your face is like a puddle of mud.	ABUSE
With that hairstyle, you look like a homeless person.	ABUSE
You have the face of an aged man.	ABUSE
You dance like an engine running out of gas.	OTHER
Your smile is like a graveyard.	ABUSE
Your manners are as flippant as a seal.	OTHER
Your clothes make you look old.	ABUSE
Your manners are as coarse as sandpaper.	ABUSE
With that hairstyle, you look like a tired person.	OTHER
You are as common as dirt.	ABUSE
You are as common as muck.	ABUSE
Your input is like using a marshmallow to hammer nails into a wall.	ABUSE
You talk like a ghost.	OTHER
You are as modern as the exhibits in a museum.	OTHER
Your clothes make you look like you don't care.	OTHER
You are as thin as an elephant.	ABUSE
Your posture reminds me of a person who is completely overwhelmed.	OTHER
Your lips are like dried raisins.	ABUSE
You have the face of a sad person.	OTHER
Your garden is like a burned desert.	OTHER
Your clothes make you appear larger than you are.	OTHER
Your attitude is like the road is war and other drivers are the enemies.	OTHER
You dance like a child.	ABUSE
You are as cheap as borscht.	OTHER
Your garden is like a shed.	ABUSE
Your clothes make you seem like a bag-lady.	OTHER
You run like a headless chicken.	ABUSE
You sing like a mosquito on a sweltering night.	OTHER
Your manners are as offensive as the worst possible stand up comedian.	OTHER
You have the face of someone who has sat in a damp patch.	OTHER
You have the face of thunder.	OTHER
You remind me of a pig when you eat.	ABUSE
You have the face of a grey stone statue.	OTHER
You have the face of a clown.	ABUSE
Your approach is like an axe chopping wood.	OTHER
You are as deaf as a doorpost.	OTHER
Your clothes make people laugh.	ABUSE
You eat like a three year old.	ABUSE
You move like you are wading through mud.	OTHER
You are as dull as ditchwater.	ABUSE
Your responses are like it's painful for you to talk.	OTHER
You have the face of a chimpanzee.	ABUSE
Your responses are like they were said without thinking.	OTHER
You laugh like a train. 	OTHER
Your face is like a thunderstorm.	OTHER
Your conversations are like an empty room.	OTHER
You sing like a wailing cat.	ABUSE
You have the face of a glistening waterfall.	OTHER
You are as thin as a stick.	ABUSE
Your garden is like a tip.	ABUSE
Your clothes make no sense.	OTHER
You eat like a doll.	OTHER
You are as fat as a cow.	ABUSE
You cook like a school dinner lady.	OTHER
You eat like a hungry person.	OTHER
With that hairstyle, you look like you've been dragged through a hedge backwards.	ABUSE
You eat like a hungry monkey.	ABUSE
You eat like a digger.	ABUSE
Your posture reminds me of a deflated balloon.	OTHER
You have the face of a porcelain mug.	OTHER
You talk like a teenager.	ABUSE
Your face is like the face of somebody who has given up on life.	OTHER
You are built like a huge unit.	ABUSE
You are as modern as bakelite.	ABUSE
With that hairstyle, you look like you're wearing a helmet.	ABUSE
You remind me of the colour brown.	OTHER
You sing like a broken parrot.	ABUSE
You talk like a child.	ABUSE
Your skin is like a crater on the moon.	ABUSE
You eat like a warthog.	ABUSE
You remind me of a clown when you wear makeup.	ABUSE
You are as cheap as chips.	ABUSE
Your skin is like rubber.	OTHER
Your approach is like is loud it can be heard in the Australian outback.	OTHER
Your manners are as cold as ice.	OTHER
You look as tired as someone who hasn't slept for two weeks.	OTHER
You remind me of a rash.	ABUSE
You sing like a skunk.	ABUSE
You dance like a disco man.	OTHER
You sing like a catfish.	ABUSE
Your attitude is like a hurricane.	OTHER
Your garden is like a bomb site.	OTHER
With that hairstyle, you look like you've aged.	OTHER
Your manners are as refined as a monkey's.	ABUSE
You have the face of a cow.	ABUSE
You remind me of a dog slobbering over its dinner.	ABUSE
You are built like a house.	ABUSE
Your manners are as limited as a child's.	ABUSE
Your responses are like a tanker trying to do a U-turn in the ocean.	OTHER
You have the face of someone only a mother could love.	ABUSE
Your arms are like milky tubes.	OTHER
You are as smart as a neanderthal.	ABUSE
You remind me of a tsunami.	OTHER
You are as thin as a string bean.	OTHER
You are as dull as dishwater.	ABUSE
Your manners are as good as a monkey's.	ABUSE
You look as hungry as a fat man.	ABUSE
Your garden is like a jungle.	OTHER
Your movements remind me of a robot.	ABUSE
You sing like a piece of chalk on a blackboard.	ABUSE
You dance like a three-legged animal.	ABUSE
Your arms are like pastry.	OTHER
You have the face of a thunderstorm.	OTHER
You sing like a broken record.	ABUSE
You have the face of a thundery day.	OTHER
You remind me of a flat tyre.	ABUSE
You are as thin as a rake.	OTHER
With that hairstyle, you look like a clown.	ABUSE
You are as fat as a house.	ABUSE
You dance like a bear.	OTHER
Your skin is like a badly burnt pizza.	ABUSE
You have the face of a politician.	ABUSE
This dress makes you look like your hips are wider than usual.	OTHER
Your clothes are like they are borrowed.	ABUSE
You cook like you've never seen an oven before.	ABUSE
With that hairstyle, you look like you've just got out of bed.	OTHER
You are acting like you have no education.	ABUSE
Your hair is as silky as sandpaper.	ABUSE
Your voice sounds like a cheese grater.	ABUSE
Your hair looks like a sheep dog.	OTHER
You dance like a broken lamp.	ABUSE
Your approach is like sandpaper on skin.	ABUSE
You are as modern as the cavemen.	ABUSE
You remind me of a train wreck.	ABUSE
Your room is like a civil service office block.	OTHER
You have the face of squashed pumpkin.	ABUSE
Your garden is a mess.	OTHER
Your room is like a monk's cell.	OTHER
You sing like a strangled goat.	ABUSE
You look as tired as someone who has been running a mile.	OTHER
You have the face of someone who's been eating lemons.	ABUSE
You have the face of mashed peas.	ABUSE
You sing like a hawk.	OTHER
You remind me of a cloudy day.	OTHER
You are built like someone who needs a lot of sustenance.	OTHER
You sing like a howling dog.	ABUSE
You dance like a chimpanzee.	ABUSE
Your responses are like you are being personally attacked.	OTHER
Your conversations are like a glacier moving.	OTHER
You look like you have been dragged through a bush.	ABUSE
You remind me of roadkill.	ABUSE
You are as smart as a toad.	ABUSE
You make me feel like a spare part.	OTHER
You sing like a karaoke fan.	OTHER
You cook like a student.	OTHER
You have the face of a ghost.	OTHER
With that hairstyle, you look like an old man.	ABUSE
With that hairstyle, you look like a privet hedge.	ABUSE
You are sweating like a priest in a playground.	ABUSE
Your approach is like a sledge hammer.	OTHER
Your comments are like a dog whistle.	OTHER
You are acting like you are carrying weights on your back.	OTHER
Your smile is like it is upside down.	OTHER
You look as tired as a single mother of four.	ABUSE
You sing like the wind whistling through my windows on a rainy night.	OTHER
Your arms are like a determined police officer directing traffic.	OTHER
Your arms are like a windmill.	OTHER
Your movements remind me of someone disabled.	ABUSE
Your clothes are like you are always on your way to a funeral.	ABUSE
Your smile is like you aren't feeling like yourself these days.	OTHER
Your comments are like a sigh.	OTHER
You look as hungry as a vacuum.	OTHER
Your comments are like those of someone reciting memorized multiplication tables.	OTHER
You eat like a snail.	OTHER
Your voice sounds like you have blocked sinuses.	OTHER
Your sunburn makes you look like a red balloon.	ABUSE
You look as tired as night.	OTHER
Your clothes make me feel sick.	ABUSE
You look as hungry as a person who seems like they have never seen food before.	ABUSE
This dress makes you look like a new woman.	OTHER
Your voice sounds like car brakes squealing.	ABUSE
You eat like you have not eaten in days.	OTHER
Your voice sounds like a powerful storm blowing through the concert hall.	OTHER
Your responses are like a cat with its head in box.	OTHER
Your skin is as pale as vanilla ice cream.	OTHER
You are acting like a fraction of your age.	ABUSE
Your skin is like a piece of crepe.	ABUSE
You eat like you're starving.	OTHER
You eat like you haven't had any great food in a while.	OTHER
Your lips are like cracked ice.	OTHER
Your attention span is like a nano second.	ABUSE
You look as hungry as a fat kid.	ABUSE
You talk like a waning candle.	OTHER
Your nose is like the Niagara falls.	OTHER
Your smile is like a weeping willow.	OTHER
Your voice is like a soft breeze, but you can be more forceful when it's called for.	OTHER
Your manners are like an overbearing waiter.	ABUSE
Your clothes make you look very large.	ABUSE
With that hairstyle, you look like a librarian in a British boarding school.	ABUSE
You sing like you are very passionate.	OTHER
Your presence is like you're not even there.	OTHER
Your voice is like a trombone.	OTHER
You eat like you haven't eaten in days.	OTHER
Your clothes are like prunes.	ABUSE
Your skin is like the colour of the moon.	OTHER
You move like an old person.	ABUSE
You look as hungry as a marathon finisher.	OTHER
Your smile is like a yellow crayon.	OTHER
Your approach is like a bull in a china shop.	ABUSE
You look as hungry as a man returning from space.	OTHER
Your lips are like dry leaves.	OTHER
Your clothes are like they are hanging off you.	OTHER
You reacted like someone who is frozen in time.	OTHER
You look as tired as an old handbag.	ABUSE
Your responses are like someone has never had an adult conversation with you before.	ABUSE
Your clothes are like a tent.	OTHER
Your voice is like a car horn.	ABUSE
Your voice sounds like a distant echo.	OTHER
You are acting like you're at the end of your tether.	OTHER
Your movements remind me of an alien.	ABUSE
Your clothes make you ten years older.	ABUSE
Your movements remind me of a plodding elephant.	ABUSE
This dress makes you look like a parent.	ABUSE
You sing like a thunderstorm.	OTHER
Your comments are like compliments, so they can be difficult to interpret if you don't like what someone is saying.	OTHER
Your clothes make you look like you need to go shopping for some.	ABUSE
Your lips are like a flower in winter - need some extra care.	OTHER
Your arms are like dowel rods.	OTHER
You look as tired as a wilting plant.	OTHER
Your clothes are like you picked them off your bedroom floor this morning.	ABUSE
Your garden is like a sea of trash.	ABUSE
You look as tired as your clothes.	ABUSE
